ticker,hhi_posse,ret_crash,ret_recup,vol_pos_crash,quintil_hhi
GGBR3,0.262433715536398,-0.490212517470244,1.2129966650488,0.0623070205969741,5
GGBR4,0.0102786867757013,-0.497863185782536,1.46304202192724,0.0513414123993471,1
GNDI3,0.010007163037363,-0.359635379575559,0.742437722419929,0.101931950771502,1
GOAU3,0.0843181380519173,-0.512077840304645,1.4072552247123,0.0574072755891229,4
GOAU4,0.0472802127220555,-0.510836611241232,1.45821436391975,0.0535319582706487,3
GOLL4,0.0248078503573084,-0.668029197080292,1.19349164467898,0.23830376144665,2
GRND3,0.0543985262157872,-0.343504902514158,0.139386499219044,0.0396753067130422,4
GUAR3,0.0735079441558053,-0.624052377670572,0.366636113657196,0.162373871845684,4
HAPV3,0.0119820833980226,-0.294156752878636,0.804190253956598,0.0823598514645124,1
HBOR3,0.0278864391443838,-0.563805114853001,0.301063772801012,0.250125184889436,2
HGTX3,0.0341356297011921,-0.400483481063659,0.153897849462366,0.105505095908983,3
HYPE3,0.033225609081091,-0.188698435833352,0.229947240666677,0.0899129517245124,3
IDNT3,0.127609366456269,-0.404494382022472,1.98584905660377,0.381668108917898,5
IGTA3,0.0222001895530857,-0.413696060037523,0.1888,0.0772484774090577,2
IRBR3,0.0310499452085183,-0.784073188110563,-0.0819022047132853,0.192645874754476,3
ITSA3,0.2056249422535,-0.214979039537039,0.260026698109398,0.0788949924073128,5
ITSA4,0.00950000959126961,-0.293252221258866,0.360762852174266,0.0917040789683409,1
ITUB3,0.0422570152280973,-0.223676033827242,0.278309779355526,0.0801753966653902,3
ITUB4,0.0106745684244106,-0.274327468530963,0.383346188929591,0.0985602277840894,1
JBSS3,0.00844425842695586,-0.262509064539521,0.163225172074729,0.10097703964671,1
JHSF3,0.041184506372317,-0.555273266241576,1.27246866404648,0.208111785711089,3
JOPA3,0.106633358158077,0.0427586665777406,0.169861167962501,0.105581681147766,4
JPSA3,0.0407560571026177,-0.470649081975692,0.284318514899854,0.0842021631815698,3
KEPL3,0.319337509164772,-0.187290918626184,0.591890615187392,0.111776755823946,5
KLBN11,0.0348989543690414,-0.223840536104205,0.636867961106075,0.0869472664129041,3
KLBN3,0.499999077057942,-0.220338559675439,0.62839916734417,0.104011263346563,5
KLBN4,0.493697323830142,-0.209935112775133,0.618011988034307,0.0830098798413593,5
KROT11,0.139961044726914,-0.655765920826162,0.157499999999999,0.226576412137982,5
LAME3,0.0319558964614669,-0.377959535083943,0.415224913494809,0.18704607405278,3
LAME4,0.011724431619306,-0.346642468239565,0.460555555555555,0.170368183256579,1
LCAM3,0.0107241851917876,-0.555696738670055,1.79408960915157,0.0650684209943922,1
LEVE3,0.0451461717438877,-0.436012740953169,0.195552616405868,0.0481810751898693,3
