ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
RENT3,201910,1,0.326890226072141,0.818854022487488,73
SANB11,201910,1,0.186058558229538,0.456289756566747,73
SAPR11,201910,1,0.127641774563656,0.291033400053356,73
SBSP3,201910,1,0.282850424880649,0.754009169195504,73
SEER3,201910,1,0.125778330743235,0.30333571107097,73
SMTO3,201910,1,0.166358057427591,0.420089869079021,73
SULA11,201910,1,0.265646529913788,0.670501334460871,73
TOTS3,201910,1,0.253850044779216,0.623462781260637,73
TRIS3,201910,1,0.150220058385347,0.356549906060438,73
UGPA3,201910,1,0.206791326490736,0.522862357557177,73
USIM5,201910,1,0.100656344771539,0.234195111796755,73
VALE3,201910,1,0.36993891048089,0.939460484355723,73
VIVA3,201910,1,0.280870759081195,0.70827501231613,73
VIVT4,201910,1,0.159368798185906,0.403955485678754,73
VVAR3,201910,1,0.176474683319802,0.41315511046393,73
WEGE3,201910,1,0.175472239121949,0.438901916496616,73
YDUQ3,201910,1,0.197139813165083,0.464007423520265,73
ABEV3,201911,1,0.220906282089373,0.595304586608676,74
ALSO3,201911,1,0.217151865325714,0.562662174690474,74
ALUP11,201911,1,0.119237750274056,0.279920677132102,74
ARZZ3,201911,1,0.219467581746435,0.553288493160858,74
AZUL4,201911,1,0.246391262309083,0.638089244440895,74
B3SA3,201911,1,0.382637029124872,0.995623354501026,74
BBAS3,201911,1,0.367563546093452,0.938307031955422,74
BBDC3,201911,1,0.250052315061337,0.673776142767124,74
BBDC4,201911,1,0.351372161557032,0.917026493078499,74
BBSE3,201911,1,0.171857766831962,0.453431701397015,74
BMGB4,201911,1,0.177866260936981,0.448366862079274,74
BPAC11,201911,1,0.270753943280708,0.693789969827903,74
BRAP4,201911,1,0.254888534171692,0.659776521752071,74
BRDT3,201911,1,0.331999837746397,0.852337356440065,74
BRFS3,201911,1,0.18658013704366,0.503338895843715,74
BRKM5,201911,1,0.197642929250376,0.507997920999276,74
BRPR3,201911,1,0.229603924370124,0.591277067844337,74
BTOW3,201911,1,0.203812010658246,0.532439327807609,74
CESP6,201911,1,0.271409873721279,0.692757549682541,74
CMIG4,201911,1,0.213897471968911,0.538229444724142,74
COGN3,201911,1,0.283444569941934,0.719018581500241,74
CPFE3,201911,1,0.20457693590526,0.524596199967804,74
CPLE6,201911,1,0.157118225661791,0.3833816567791,74
CSAN3,201911,1,0.150923741826641,0.398803255887949,74
CSMG3,201911,1,0.256119337738862,0.656182143865083,74
CSNA3,201911,1,0.129411559545701,0.338265604827522,74
CVCB3,201911,1,0.210594764349199,0.508165633324821,74
CYRE3,201911,1,0.247979207380228,0.639878521268635,74
ELET3,201911,1,0.257910831491765,0.667823667951321,74
ELET6,201911,1,0.279595560308766,0.737988375616941,74
EMBR3,201911,1,0.258561282867558,0.681756018883978,74
ENBR3,201911,1,0.236740246628866,0.588114428005049,74
EQTL3,201911,1,0.236551622135065,0.621769423296315,74
EVEN3,201911,1,0.146581322359044,0.356982314539096,74
GGBR4,201911,1,0.247686396567133,0.649565555335067,74
GNDI3,201911,1,0.241146514222524,0.613496856337378,74
GOLL4,201911,1,0.195849484074575,0.477182910166398,74
HAPV3,201911,1,0.295047655340922,0.751763509066989,74
IGTA3,201911,1,0.202235143666445,0.534709021977671,74
ITSA4,201911,1,0.323416423157274,0.855519850374458,74
ITUB4,201911,1,0.329536004523824,0.862859607350081,74
JBSS3,201911,1,0.34375124587181,0.877000681538395,74
LAME4,201911,1,0.254910045445949,0.648051131023678,74
LIGT3,201911,1,0.170253699691685,0.439921785538654,74
LOGG3,201911,1,0.151688130780455,0.380347603198383,74
LREN3,201911,1,0.350601197923829,0.916305337753732,74
MGLU3,201911,1,0.313296178457053,0.797388189199723,74
MRFG3,201911,1,0.134864473311208,0.326135648672133,74
NATU3,201911,1,0.245177384822149,0.628035117442033,74
OMGE3,201911,1,0.171898396824437,0.455583515513404,74
PCAR4,201911,1,0.164887047327422,0.41873607974233,74
PETR3,201911,1,0.318889392194262,0.838381062518555,74
PETR4,201911,1,0.378423955440625,0.978500164245027,74
QUAL3,201911,1,0.209825708320194,0.524419328501852,74
RADL3,201911,1,0.295361764435143,0.769561462426354,74
RAIL3,201911,1,0.232240088411062,0.60664181698576,74
RENT3,201911,1,0.330946478726379,0.85714754459332,74
SANB11,201911,1,0.20011334728224,0.510025688376893,74
SAPR11,201911,1,0.130744650443786,0.309485806147134,74
