ticker,ym,n_fundos,mean_peso,cv_peso,wmean_peso,cv_peso_ponderado
CPLE3,201911,336,0.00353059673350793,4.70178742419377,0.00798474195274466,2.55103475458414
SBSP3,201911,1020,0.0075042971303774,1.60237762066395,0.0105236553890247,1.60486689199514
ITUB4,201911,1113,0.0256160442181746,1.239337182337,0.0252054725952409,1.20097015315588
B3SA3,201911,1198,0.028585279257401,0.991834788099603,0.0286082526565834,0.958365205607496
MGLU3,201911,1121,0.0150963833881757,1.38311019181999,0.0161471085477115,1.38549899889404
LREN3,201911,1156,0.0185082461870674,1.15404020962607,0.0185157996026474,1.0371467158997
QUAL3,201911,917,0.00656500908423817,3.01682102412254,0.00797867733653766,2.349742939746
MYPK3,201911,537,0.00200156752019136,2.95391599641686,0.00300624678097058,2.16964088430807
AZUL4,201911,1008,0.00906489145068548,1.62046995312398,0.0115186923723148,1.42563578135657
PETR3,201911,974,0.0137818990791613,1.23813519488434,0.0139414318248105,1.14537192482023
EMBR3,201911,845,0.00175165017426675,2.05060458014714,0.00183802183218823,1.84382416435657
RLOG3,201911,572,0.00152328273763101,2.92589821819871,0.00193091601089857,2.28978754251055
CMIG3,201911,698,0.00260260067696286,2.12951630998011,0.00377970245714819,1.72670097610827
RENT3,201911,1165,0.0150564583511138,1.27164815678933,0.0154063842471462,1.17403516200957
BPAN4,201911,570,0.00103141914947266,3.22568041743986,0.000888603840685854,2.6098729291741
VALE3,201911,1232,0.0303672841317587,0.967179157621219,0.0292975116793598,0.95066578748574
BRML3,201911,1061,0.0094957545970296,1.99566762546924,0.0100373753150625,1.99196075388199
BBDC4,201911,1141,0.025088526288603,1.18697076407861,0.023533640642854,1.2047292291476
BBDC3,201911,857,0.0040366608079959,1.59162054495981,0.00390328767029018,1.61881212862214
SUZB3,201911,987,0.00594518612935711,1.5068886532333,0.00673852622798418,1.70948534214675
AMAR3,201911,593,0.000747846637338538,3.54278484293692,0.00064030762016351,3.12004999328981
COGN3,201911,973,0.0040590542495115,1.5389445593632,0.00360163779199001,1.53874227493198
SULA11,201911,919,0.00997768115423091,1.42228739186993,0.0112873455518002,1.34782795968975
MEAL3,201911,556,0.00187256628235496,3.09080490420992,0.00378977175458823,2.09437545109361
RADL3,201911,954,0.00601101024960307,2.22129941852342,0.00534738436030554,1.60973413125674
AALR3,201911,425,0.00101591052498293,2.27832825372672,0.0019666858871998,1.52904508075538
YDUQ3,201911,1026,0.00723285695536362,2.07812817273475,0.00695922057114685,2.18620437856262
GUAR3,201911,538,0.00246785633736318,2.79611267760014,0.00489257429610617,2.11543571616697
BRFS3,201911,982,0.00653970719304573,2.04984876073355,0.00700537010075888,2.097155144124
HGTX3,201911,834,0.0086135440941051,1.62416213336783,0.00905098971054401,1.67348036475833
KLBN11,201911,829,0.00326157409021989,5.24834016657837,0.00144348252520627,7.18387637677216
USIM5,201911,886,0.00169563232328708,6.15743773885075,0.00118645147690993,3.65742790806562
