setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
Bancos,202111,34841413461.5634,1833,27,325255185819.354,0.107120239678252,0.107390797755989,0.118731378015604,-0.000270558077737779,-0.0116111383373522
Bancos,202112,32145507559.6457,1904,28,312951418870.811,0.10271724498209,0.107120239678252,0.114080328418529,-0.00440299469616189,-0.0113630834364397
Construcao e Imobiliario,201704,2937457040.43161,1192,22,71529884098.216,0.0410661512662073,0.0434103002258588,0.0383304040679838,-0.00234414895965152,0.00273574719822346
Construcao e Imobiliario,201705,3609774848.60592,1222,22,69641670458.5266,0.051833547714161,0.0410661512662073,0.0355400152986662,0.0107673964479538,0.0162935324154948
Construcao e Imobiliario,201706,3592150709.56943,1188,22,69214733102.5099,0.0518986427968927,0.051833547714161,0.0434103002258588,6.5095082731656e-05,0.00848834257103391
Construcao e Imobiliario,201707,3780152783.46717,1195,22,67346539531.8401,0.0561298740773458,0.0518986427968927,0.0410661512662073,0.00423123128045311,0.0150637228111385
Construcao e Imobiliario,201708,4010034270.35166,1235,22,75727711489.0053,0.0529533270120524,0.0561298740773458,0.051833547714161,-0.00317654706529338,0.00111977929789139
Construcao e Imobiliario,201709,4589092052.38034,1223,22,84659901739.7102,0.0542062057488521,0.0529533270120524,0.0518986427968927,0.00125287873679972,0.00230756295195945
Construcao e Imobiliario,201710,4452287588.18851,1229,22,87889104061.879,0.050658015412853,0.0542062057488521,0.0561298740773458,-0.00354819033599911,-0.00547185866449277
Construcao e Imobiliario,201711,4723642638.67128,1239,22,88307465319.936,0.0534908642384608,0.050658015412853,0.0529533270120524,0.0028328488256078,0.000537537226408404
Construcao e Imobiliario,201712,4660076087.35627,1212,22,87692181695.9998,0.0531412948934403,0.0534908642384608,0.0542062057488521,-0.000349569345020576,-0.00106491085541189
Construcao e Imobiliario,201801,4796956581.19235,1213,22,94549805856.5787,0.0507347057747404,0.0531412948934403,0.050658015412853,-0.00240658911869986,7.66903618873577e-05
Construcao e Imobiliario,201802,4877761181.49573,1197,22,97110292371.6627,0.0502290855311964,0.0507347057747404,0.0534908642384608,-0.000505620243544037,-0.00326177870726448
Construcao e Imobiliario,201803,5185560056.82618,1225,21,108484322569.548,0.0478000869987622,0.0502290855311964,0.0531412948934403,-0.00242899853243418,-0.00534120789467808
Construcao e Imobiliario,201804,4757394498.31118,1211,21,112852815596.265,0.0421557448360965,0.0478000869987622,0.0507347057747404,-0.00564434216266569,-0.0085789609386439
Construcao e Imobiliario,201805,4889709498.01426,1226,21,112393039639.731,0.043505447612129,0.0421557448360965,0.0502290855311964,0.00134970277603253,-0.00672363791906733
Construcao e Imobiliario,201806,4812743593.46541,1212,21,107697210646.92,0.0446877274216857,0.043505447612129,0.0478000869987622,0.00118227980955665,-0.00311235957707651
Construcao e Imobiliario,201807,4400144949.25323,1217,21,104191187693.892,0.0422314501508576,0.0446877274216857,0.0421557448360965,-0.00245627727082803,7.57053147611569e-05
Construcao e Imobiliario,201808,4783192356.99556,1253,21,108043579827.41,0.0442709540412884,0.0422314501508576,0.043505447612129,0.00203950389043073,0.000765506429159353
Construcao e Imobiliario,201809,4471063019.81696,1223,21,106660522580.877,0.0419186303576068,0.0442709540412884,0.0446877274216857,-0.00235232368368156,-0.00276909706407886
