ticker,ym,n_fundos,n_fundos_com_churn,frag_laum_medio,frag_flow_medio,frag_cotistas_medio,frag_exit_rate_medio
CSAN3,202302,7551,7458,20.5260105969147,-0.0300543806755244,2.86362611913599,0.0821326863786497
ARML3,202302,2360,2345,21.9089713117358,-0.00511042452497139,2.37487843855918,0.0442271813677389
AMER3,202302,3390,3355,20.1582604087384,-0.00842230521154285,2.53940795083657,0.102649175078178
ALSO3,202302,8778,8706,20.2152154495573,-0.0228050594021502,3.05237540917243,0.0655350758912478
TFCO4,202302,3551,3527,19.5079588937636,-0.0464487807141826,3.33754474301108,0.104828838929109
PETR4,202302,11830,11696,20.9114339415928,-0.0176171562664871,2.93275919859755,0.0533099256713832
CASH3,202302,4768,4727,19.6879934961928,-0.0182689684120202,3.08277073219268,0.130220306669789
CEBR3,202302,240,238,21.0069577378773,-0.0237541285997648,2.77954813346718,0.041875895411995
UCAS3,202302,141,140,20.8978891251672,-0.0203133309588224,2.17756900801886,0.0153439856645547
CEBR6,202302,44,43,21.6349791100148,-3.76460766897034e-05,1.46291395902585,0.0327077675644989
CLSC4,202302,1485,1469,21.6089033374872,-0.00172707539576659,2.21243929466974,0.0198173106390744
ITSA4,202302,13883,13749,20.2187235525609,-0.0246093746902161,2.95326938826999,0.0639703285057242
CPLE11,202302,2523,2508,20.6972270840289,-0.00985789012942107,2.23349179744609,0.0507078531408576
EQPA3,202302,2087,2071,20.4448227461309,-0.00605834782554016,3.06186072224706,0.0149336864241981
CPFE3,202302,6397,6333,19.9264643736461,-0.0181450559915306,3.2595388030788,0.0987468165145584
CLSC3,202302,12,12,22.2816702022437,-0.00324514890070569,2.25967521740905,0.00719153465791215
CEBR5,202302,291,289,20.2975391366785,-0.02055786973787,2.84094029242264,0.0564253919516493
ALUP11,202302,2027,2009,19.9554632478251,-0.0147052825274314,3.00617441017171,0.0585987871463206
RECV3,202302,8875,8795,20.3593188582579,-0.0171885811983918,2.94742959175928,0.0721827109403694
PORT3,202302,1934,1904,20.4352970435747,-0.0149713064281815,2.64615779035317,0.0245177772941211
FIQE3,202302,686,680,20.1010930394543,-0.00198991707051151,1.71033536915632,0.0342812583337608
YDUQ3,202302,2899,2868,20.0601909623634,-0.0213522115943557,2.68831986388644,0.0752755878675306
VBBR3,202302,9844,9731,20.506382089675,-0.0212172942898755,2.87974110421492,0.0816334018690413
TEND3,202302,2831,2806,19.3903880055399,-0.0107703931449146,2.4244943717153,0.0994964468617969
SUZB3,202302,9465,9361,20.4968421906089,-0.0207167055442439,2.83682363142778,0.075206383075965
SIMH3,202302,4253,4218,19.2241075776002,-0.022796401187519,3.58010619277803,0.0901930011111548
RDOR3,202302,11176,11061,22.2814129083723,-0.00740434064143676,1.84732786708924,0.0667974795479884
PRIO3,202302,9889,9775,20.2676366046515,-0.0269411568944123,3.08621769324431,0.0983198411268329
PETZ3,202302,5756,5706,19.9754908374301,-0.0157920296527849,2.85650699491892,0.0485551857286076
ONCO3,202302,6475,6414,20.2831260352892,-0.0213918501860049,3.06907483887144,0.0806074130329671
NTCO3,202302,9354,9238,20.4395030344266,-0.0220006772460374,2.91536205774809,0.0873409903894899
NINJ3,202302,4759,4717,19.7545931216002,-0.0281701317487699,2.71138610048492,0.0579273616729055
MRVE3,202302,6495,6440,19.8985217265399,-0.0306290464576143,3.01274617956966,0.109850375238423
MOVI3,202302,805,792,19.336636012305,-0.00844225184861955,2.22336505810246,0.0789591286394036
LWSA3,202302,4509,4463,19.9926063379121,-0.0339803157646041,3.21526821716299,0.0565732889180482
LREN3,202302,13430,13316,19.9732368829022,-0.0330208876937282,3.05331425758709,0.080127866486878
HAPV3,202302,9726,9649,20.1651611813143,-0.0273668477265787,2.95544660477492,0.0712818528528952
ENJU3,202302,5935,5872,19.5767545331567,-0.0273481802484092,2.83309601211675,0.0685974046122232
ENEV3,202302,8705,8611,20.4252238460884,-0.0241602822531347,3.0208513002326,0.0663385739245076
ELET3,202302,13942,13821,20.617313422173,-0.0175341319552625,2.49112916021472,0.0599967273394588
EGIE3,202302,3631,3587,20.2782618314286,-0.030202730219127,2.86065025587753,0.0663107978667626
CLSA3,202302,3876,3847,19.7924016881638,-0.0430415561781532,3.22301145116637,0.0572301923279628
BBAS3,202302,15185,15048,20.2625874079362,-0.0166205477542775,3.45816298021699,0.120977487217485
B3SA3,202302,7525,7444,20.169825950615,-0.0308944681345265,2.94381863972967,0.0545742964426817
AURE3,202302,8229,8158,20.1283153414024,-0.0114097093348669,3.09524153861894,0.0853639938278925
RAIZ4,202302,7768,7692,19.9284893123192,-0.021841994531017,2.96023601281729,0.0980063758050217
ITUB4,202302,9831,9742,20.2070443121705,-0.025974496615836,3.13155716605649,0.0899424714247976
GOAU4,202302,14011,13874,20.2125479798714,-0.0205863072341901,3.33800255905865,0.10694391257978
EUCA4,202302,2990,2966,19.542387919239,-0.00388279461233028,4.17279721333383,0.124239597306599
ALPA4,202302,9220,9128,20.3420820433185,-0.0198196210390753,3.0104271648916,0.0596228804728106
IGTI11,202302,4950,4913,19.9327763226898,-0.00927725010007367,3.14884731240995,0.0781759941409702
STBP3,202303,7389,7289,20.629979594445,-0.0139065134306669,2.52354147307922,0.0826307561869296
ALSO3,202303,8568,8466,20.1670344995969,-0.0176255840090746,2.96152579514004,0.0912479269626032
AMER3,202303,2693,2650,20.1386343480744,-0.0166585533578508,2.53573344081372,0.0568536763055428
ARML3,202303,1261,1248,21.9962206306385,-0.00411155710556753,2.01018887314262,0.0517181552536557
ASAI3,202303,14502,14326,20.2826829065783,-0.0185240619294076,2.92428782036642,0.128396328761555
CSAN3,202303,6738,6652,20.5425408448396,-0.0216833859784555,2.8158175341435,0.0743426240955698
CVCB3,202303,1906,1883,21.1358684590342,-0.00271725912002311,1.82478224327127,0.0315098600015525
ENEV3,202303,8715,8610,20.3954606385815,-0.0199935945032647,2.93841707083352,0.0873051838934776
EQTL3,202303,10480,10348,20.4458895883615,-0.0168783096243985,2.80578029830613,0.0921920708950079
GGPS3,202303,7774,7661,20.1115301335195,-0.0209684665853457,2.81852994344498,0.110501924224938
GMAT3,202303,6716,6622,20.7009628123033,-0.0157956721517754,2.99804903142288,0.0952119350237291
OPCT3,202303,2638,2610,19.0812100496124,-0.0204709529331198,2.84507773705738,0.04302794664969
RENT3,202303,9358,9248,20.2177111236244,-0.0236923812697098,2.8332387592358,0.0830324441787852
SLCE3,202303,7899,7777,19.9848427355173,-0.0203760556072542,3.17576898150231,0.105747356515351
SOMA3,202303,9513,9400,20.3059500994891,-0.0215672510816863,2.85613391425625,0.090805042822128
VIVA3,202303,8489,8393,20.0717789769789,-0.0180778594591578,2.94857005431236,0.144838934906032
PETR4,202303,11337,11163,20.9592163147521,-0.0116915240994909,2.75983340510394,0.0724315200011663
TFCO4,202303,3454,3417,19.4806459826769,-0.0264181404361782,3.1477363614682,0.123341779504266
