ticker,ym,hhi_posse,n_fundos,hhi_prev1,hhi_prev3,hhi_prev6,delta_hhi_1m,delta_hhi_3m,delta_hhi_6m,delta_hhi_3m_pct,delta_hhi_6m_pct
ABCB4,202002,0.0477706909171187,627,0.0371561516036875,0.0457253589404664,0.0344898930036564,0.0106145393134312,0.00204533197665235,0.0132807979134624,0.0447308019892275,0.385063470972624
ABCB4,202003,0.0581788776628861,541,0.0477706909171187,0.0376509381726513,0.033975074206545,0.0104081867457674,0.0205279394902349,0.0242038034563411,0.54521721068682,0.712398840079016
ABCB4,202004,0.100668765374498,549,0.0581788776628861,0.0371561516036875,0.0405533886452251,0.042489887711612,0.0635126137708106,0.060115376729273,1.7093431647132,1.48237616479311
ABCB4,202005,0.0987543212602703,488,0.100668765374498,0.0477706909171187,0.0457253589404664,-0.00191444411422775,0.0509836303431516,0.053028962319804,1.06725754566973,1.15972763360582
ABCB4,202006,0.0863158728416646,526,0.0987543212602703,0.0581788776628861,0.0376509381726513,-0.0124384484186057,0.0281369951787785,0.0486649346690133,0.48362904732911,1.29252913820783
ABCB4,202007,0.0946603043819547,601,0.0863158728416646,0.100668765374498,0.0371561516036875,0.00834443154029013,-0.00600846099254335,0.0575041527782672,-0.0596854542736395,1.54763478714411
ABCB4,202008,0.0883743093247025,451,0.0946603043819547,0.0987543212602703,0.0477706909171187,-0.00628599505725225,-0.0103800119355678,0.0406036184075838,-0.105109445370102,0.849969251607231
ABCB4,202009,0.0638072537012284,411,0.0883743093247025,0.0863158728416646,0.0581788776628861,-0.0245670556234741,-0.0225086191404362,0.00562837603834226,-0.260770335737963,0.0967426025465037
ABCB4,202010,0.0553022481103053,455,0.0638072537012284,0.0946603043819547,0.100668765374498,-0.00850500559092313,-0.0393580562716495,-0.0453665172641928,-0.415782059107264,-0.450651372304257
ABCB4,202011,0.0518808415297613,449,0.0553022481103053,0.0883743093247025,0.0987543212602703,-0.003421406580544,-0.0364934677949412,-0.0468734797305091,-0.412942042475918,-0.474647378791379
ABCB4,202012,0.0430395939504219,520,0.0518808415297613,0.0638072537012284,0.0863158728416646,-0.00884124757933937,-0.0207676597508065,-0.0432762788912427,-0.325474903653575,-0.501371039491514
ABCB4,202101,0.0300398485801254,565,0.0430395939504219,0.0553022481103053,0.0946603043819547,-0.0129997453702965,-0.0252623995301799,-0.0646204558018294,-0.456806014102569,-0.682656328053685
ABCB4,202102,0.0296585707900951,587,0.0300398485801254,0.0518808415297613,0.0883743093247025,-0.000381277790030284,-0.0222222707396662,-0.0587157385346074,-0.428332889066929,-0.664398273471939
ABCB4,202103,0.038780158811652,573,0.0296585707900951,0.0430395939504219,0.0638072537012284,0.00912158802155693,-0.00425943513876987,-0.0250270948895764,-0.0989655047321402,-0.392229620267994
ABCB4,202104,0.0418016502201311,550,0.038780158811652,0.0300398485801254,0.0553022481103053,0.00302149140847907,0.0117618016400057,-0.0135005978901742,0.391539977594542,-0.244123853034799
ABCB4,202105,0.0407007268554649,566,0.0418016502201311,0.0296585707900951,0.0518808415297613,-0.00110092336466616,0.0110421560653698,-0.0111801146742963,0.372309109009984,-0.215496016345126
ABCB4,202106,0.0407055626050602,621,0.0407007268554649,0.038780158811652,0.0430395939504219,4.83574959522087e-06,0.00192540379340814,-0.00233403134536173,0.0496491982603646,-0.0542298644371587
ABCB4,202107,0.0424507480056584,640,0.0407055626050602,0.0418016502201311,0.0300398485801254,0.00174518540059824,0.000649097785527304,0.012410899425533,0.0155280421253491,0.413147868985737
ABCB4,202108,0.0350554361920114,649,0.0424507480056584,0.0407007268554649,0.0296585707900951,-0.00739531181364698,-0.00564529066345352,0.00539686540191633,-0.138702453238756,0.181966468988408
ABCB4,202109,0.0903352808295356,650,0.0350554361920114,0.0407055626050602,0.038780158811652,0.0552798446375242,0.0496297182244754,0.0515551220178836,1.21923675901499,1.32942008485002
ABCB4,202110,0.0766815250286353,689,0.0903352808295356,0.0424507480056584,0.0418016502201311,-0.0136537558009003,0.0342307770229769,0.0348798748085042,0.806364519617278,0.834413823971632
ABCB4,202111,0.0603957289112764,688,0.0766815250286353,0.0350554361920114,0.0407007268554649,-0.0162857961173588,0.025340292719265,0.0196950020558115,0.722863426387479,0.483898042552206
ABCB4,202112,0.070556917861766,789,0.0603957289112764,0.0903352808295356,0.0407055626050602,0.0101611889504896,-0.0197783629677696,0.0298513552567059,-0.218943947327642,0.733348302941647
ABEV3,201707,0.00927714678539646,923,0.00891975623199064,0.0126315645492085,0.00887062210167284,0.000357390553405827,-0.003354417763812,0.000406524683723626,-0.265558375666314,0.0458282045006701
ABEV3,201708,0.0082062489954237,919,0.00927714678539646,0.00858404406900935,0.0107322244609713,-0.00107089778997276,-0.000377795073585648,-0.00252597546554759,-0.0440113157095252,-0.235363644762885
ABEV3,201709,0.00961719371960643,960,0.0082062489954237,0.00891975623199064,0.0109791745883742,0.00141094472418273,0.000697437487615792,-0.00136198086876774,0.0781901959511447,-0.124051298920953
ABEV3,201710,0.0104576387379729,967,0.00961719371960643,0.00927714678539646,0.0126315645492085,0.000840445018366463,0.00118049195257643,-0.00217392581123557,0.12724730780747,-0.172102656228107
ABEV3,201711,0.0112154555753004,955,0.0104576387379729,0.0082062489954237,0.00858404406900935,0.000757816837327464,0.00300920657987666,0.00263141150629101,0.366696962467843,0.306546830973421
ABEV3,201712,0.012731899832729,934,0.0112154555753004,0.00961719371960643,0.00891975623199064,0.00151644425742864,0.00311470611312257,0.00381214360073836,0.323868500930023,0.42738203843129
ABEV3,201801,0.0154235862959174,962,0.012731899832729,0.0104576387379729,0.00927714678539646,0.00269168646318837,0.00496594755794447,0.0061464395105209,0.474863177278494,0.662535545971554
ABEV3,201802,0.0141092509763526,926,0.0154235862959174,0.0112154555753004,0.0082062489954237,-0.00131433531956475,0.00289379540105225,0.00590300198092891,0.258018533587277,0.719330108581981
ABEV3,201803,0.0108536072851789,973,0.0141092509763526,0.012731899832729,0.00961719371960643,-0.00325564369117368,-0.00187829254755006,0.0012364135655725,-0.147526494256707,0.128562822130935
ABEV3,201804,0.0143615230085263,947,0.0108536072851789,0.0154235862959174,0.0104576387379729,0.00350791572334735,-0.00106206328739108,0.00390388427055339,-0.0688596845775232,0.373304564096093
ABEV3,201805,0.0124377314776227,969,0.0143615230085263,0.0141092509763526,0.0112154555753004,-0.00192379153090354,-0.00167151949872987,0.00122227590232238,-0.118469754456234,0.108981386811801
ABEV3,201806,0.0131862887497359,950,0.0124377314776227,0.0108536072851789,0.012731899832729,0.000748557272113166,0.00233268146455697,0.000454388917006908,0.214922228459689,0.035689011300485
ABEV3,201807,0.0117856420227641,999,0.0131862887497359,0.0143615230085263,0.0154235862959174,-0.0014006467269718,-0.00257588098576218,-0.00363794427315325,-0.179359875984804,-0.235868896076149
ABEV3,201808,0.0126696453628822,980,0.0117856420227641,0.0124377314776227,0.0141092509763526,0.000884003340118079,0.000231913885259448,-0.00143960561347042,0.0186459955078379,-0.102032745457802
ABEV3,201809,0.012251080958725,963,0.0126696453628822,0.0131862887497359,0.0108536072851789,-0.000418564404157218,-0.000935207791010936,0.00139747367354603,-0.0709227447358656,0.128756609376713
ABEV3,201810,0.011671298400558,989,0.012251080958725,0.0117856420227641,0.0143615230085263,-0.000579782558166949,-0.000114343622206088,-0.00269022460796826,-0.00970194258278269,-0.187321679349127
ABEV3,201811,0.0108609806438029,975,0.011671298400558,0.0126696453628822,0.0124377314776227,-0.000810317756755075,-0.00180866471907924,-0.00157675083381979,-0.142755749452784,-0.126771577007961
ABEV3,201812,0.0104409474160504,960,0.0108609806438029,0.012251080958725,0.0131862887497359,-0.000420033227752583,-0.00181013354267461,-0.00274534133368554,-0.147752965536112,-0.208196664413293
ABEV3,201901,0.00924026226161483,977,0.0104409474160504,0.011671298400558,0.0117856420227641,-0.00120068515443553,-0.00243103613894319,-0.00254537976114928,-0.208291833137174,-0.215972940314397
