ticker,ym,peer_ret,n_peers
ANIM3,201703,-0.00411757021010518,49
ARZZ3,201703,-0.00495463566497434,49
BBAS3,201703,-0.0131742088311657,51
BBDC3,201703,-0.0119706752966541,48
BBDC4,201703,-0.0318511016109787,49
BBRK3,201703,-0.0256430981702374,41
BBSE3,201703,-0.0096911656650179,48
BBTG11,201703,0.0145657351708431,42
BEEF3,201703,-0.0147532425202438,49
BMEB4,201703,0.0256822641848234,23
BOBR4,201703,0.0244609798827948,23
BPAC11,201703,0.0391786321302124,7
BPAN4,201703,0.0277012706093434,23
BRAP3,201703,0.0195867572938101,35
BRAP4,201703,0.0122136123837047,51
BRFS3,201703,-0.00086923329068009,48
BRIN3,201703,-0.0400894258635168,35
BRIV3,201703,0.0185595608563471,23
BRKM3,201703,-0.0364123077203897,35
BRKM5,201703,-0.00626690508894047,48
BRML3,201703,-0.0280373836423726,53
BRPR3,201703,0.013524959914841,49
BRSR6,201703,-0.0025627790664664,51
BSEV3,201703,-0.0224053046508551,35
BTOW3,201703,-0.018424030304995,50
BVMF3,201703,-0.0126784931844448,50
CCPR3,201703,-0.00191302461751757,27
CCRO3,201703,-0.0149533427251121,48
CEBR3,201703,-0.00465833844637186,25
CEBR5,201703,0.0168706449210198,23
CEBR6,201703,0.00647171044731215,25
CELP3,201703,-0.0605078742162356,36
CELP5,201703,-0.0798082671715925,5
CEPE5,201703,-0.0675824563365865,5
CEPE6,201703,-0.0554157466238728,6
CESP3,201703,0.0187222447714497,24
CESP6,201703,0.00802746838680261,52
CGAS3,201703,0.0136257669951797,33
CGAS5,201703,-0.00172382906097917,47
CIEL3,201703,-0.0049735821904933,51
CLSC4,201703,-0.00435325751000969,38
CMIG3,201703,-0.0335927144797558,41
CMIG4,201703,-0.0265403302030433,52
COCE5,201703,-0.011399345522391,25
CPFE3,201703,-0.006134750407011,50
CPLE3,201703,-0.00703994755337211,40
CPLE6,201703,-0.0306886549214023,51
CPRE3,201703,-0.0373777967687586,35
CRDE3,201703,-0.0145258670340124,37
CSAN3,201703,0.00372157023138453,48
CSMG3,201703,-0.019923603778072,51
CSNA3,201703,-0.00276249145252347,50
CTAX3,201703,0.00051600105601757,40
CTNM3,201703,-0.0950474479795461,5
CTNM4,201703,-0.0978156140695115,5
CVCB3,201703,-0.00742239559184483,52
CYRE3,201703,0.00256850108711932,51
DIRR3,201703,0.0128846313246309,48
DTEX3,201703,-0.00404961793228298,51
ECOR3,201703,-0.0158935545457767,51
EGIE3,201703,-0.0117168018287268,48
ELET3,201703,-0.0301022982844456,51
ELET6,201703,-0.00492159658207829,48
ELPL4,201703,-0.0269564837836441,47
EMAE4,201703,-0.0232912786201304,15
EMBR3,201703,-0.0118181902748235,48
ENBR3,201703,-0.0224564404995625,48
ENEV3,201703,-0.0387539058454072,43
ENGI11,201703,-0.0227503616111952,48
ENGI3,201703,-0.0284311701409512,16
ENGI4,201703,0.0155127091713241,33
ENMT3,201703,0.0104158105396571,33
ENMT4,201703,0.00541179514492207,33
EQTL3,201703,-0.0335439683015355,49
ESTC3,201703,-0.0251437230763276,51
ETER3,201703,-0.0307505284848527,35
EUCA4,201703,-0.0199549481862233,40
EVEN3,201703,-0.0220825782551132,52
EZTC3,201703,-0.00121045804367195,51
FESA4,201703,-0.0650801035116543,29
FIBR3,201703,-0.0228302731958127,48
FLRY3,201703,-0.00024246604352446,50
FRAS3,201703,-0.0202499516697853,7
GEPA3,201703,-0.0387350447502533,25
GEPA4,201703,-0.00356745862454689,25
GFSA3,201703,0.0154190656142986,49
GGBR3,201703,-0.047399169536555,45
GGBR4,201703,-0.00513839884679022,49
GOAU3,201703,-0.020726600874527,29
GOAU4,201703,0.00878370190374376,51
GOLL4,201703,-0.00513789839420796,50
GPCP3,201703,0.020902564396863,23
GRND3,201703,0.00643452126716622,47
GSHP3,201703,-0.0963971761258755,5
GUAR3,201703,-0.0106576964408084,44
GUAR4,201703,0.0128824844337257,48
HBOR3,201703,-0.024942706022687,41
HGTX3,201703,0.00294874743941212,48
HYPE3,201703,-0.00727166610222964,48
IDNT3,201703,-0.00148680311701994,37
IGTA3,201703,0.00271293098499707,51
INEP3,201703,-0.0578156068034215,5
INEP4,201703,-0.0595177462621691,5
ITSA3,201703,-0.014167298637198,45
ITSA4,201703,-0.0366650438011338,50
ITUB3,201703,0.0144592426777791,50
ITUB4,201703,-0.00596796303277599,48
JBSS3,201703,-0.00460702868493546,48
JSLG3,201703,-0.0203851650437365,40
KLBN11,201703,0.00358617426173368,48
KROT3,201703,-0.00306717888707713,48
LAME3,201703,-0.0319418805582024,45
LAME4,201703,-0.000308853005342221,45
LEVE3,201703,-0.02688208490611,49
LIGT3,201703,-0.0101915788127333,52
LINX3,201703,0.000900172488865052,50
LLISE3,201703,-0.0353337114026204,35
LOGN3,201703,0.00710868195032298,33
LPSB3,201703,-0.0113377547452649,41
LREN3,201703,-0.00895046101673802,48
LUPA3,201703,-0.034812428017198,8
MAGG3,201703,-0.0178374306669511,47
MDIA3,201703,-0.00443978813533573,45
MEAL3,201703,0.000201805808743685,44
MGLU3,201703,-0.0253297042957104,46
MILS3,201703,-0.0143046703112675,49
MLFT4,201703,0.00842358334154807,43
MOVI3,201703,-0.0111771714099474,43
MPLU3,201703,-0.0197392613681835,45
MRFG3,201703,-0.0179215826254343,51
MRVE3,201703,-0.00771319120462081,51
MULT3,201703,-0.000944114984228787,48
MYPK3,201703,-0.0105825569106813,50
