ticker,hhi_posse,n_fundos,ret_evento,ret_pos3,n_meses_pos3,vol_pos6,n_meses_pos6,evento,mes_evento_num
SUZB5,0.0174598028953508,832,0.144668158090977,0.140065146579805,3,0.111028459345193,6,Joesley Day (mai/2017),201705
TAEE11,0.0384713276211043,617,0.0322834331026574,4.85633737448143e-05,3,0.0509894169425348,6,Joesley Day (mai/2017),201705
TCSA3,0.0457933660601932,464,-0.190140834192368,0.0347825755243716,3,0.105493503263665,6,Joesley Day (mai/2017),201705
TECN3,0.0818953346387501,236,-0.0622221895594948,-0.0426539345888943,3,0.0794482041025735,6,Joesley Day (mai/2017),201705
TEND3,0.078658407137313,496,0.358298102786691,0.0877447015977075,3,0.0523244608450107,6,Joesley Day (mai/2017),201705
TESA3,0.134055813291549,208,0.0727699530516432,0.225382932166302,3,0.131840796882601,6,Joesley Day (mai/2017),201705
TGMA3,0.0935991899498225,283,0.0449990816772532,0.188985458534446,3,0.124985647034596,6,Joesley Day (mai/2017),201705
TIET11,0.0428578345820132,566,0.0237212750185323,0.0246198406951483,3,0.0432035260184541,6,Joesley Day (mai/2017),201705
TIET4,0.344904955312559,11,0.00370370370370354,0.0479704797047968,3,0.042554250667578,6,Joesley Day (mai/2017),201705
TIMP3,0.0139459451923681,800,-0.0331384015594541,0.137096774193548,3,0.0440766740151022,6,Joesley Day (mai/2017),201705
TOTS3,0.0292795622383757,556,0.0856114687859781,0.0358023272478458,3,0.0412836035387742,6,Joesley Day (mai/2017),201705
TPIS3,0.224981235363096,22,-0.244791600074901,0.213793085712871,3,0.157830076182117,6,Joesley Day (mai/2017),201705
TRIS3,0.882776127611862,15,0.0184496577092728,0.0144930410775657,3,0.19558912723018,6,Joesley Day (mai/2017),201705
TRPL4,0.0540742081795361,687,0.0409677419354839,0.0962193988224353,3,0.0562440667481804,6,Joesley Day (mai/2017),201705
TUPY3,0.0573959705663039,582,-0.0478686553405289,0.208933236748918,3,0.0861067756002532,6,Joesley Day (mai/2017),201705
UGPA3,0.021444106276899,934,0.0629081100686666,-0.00697774458471601,3,0.0552728992857241,6,Joesley Day (mai/2017),201705
UNIP3,0.138168175493564,136,0.219354648220176,0.545133818880144,3,0.125325526419308,6,Joesley Day (mai/2017),201705
UNIP6,0.707466123510756,16,0.315650269842498,0.647482984172497,3,0.135981249135235,6,Joesley Day (mai/2017),201705
USIM3,0.131370163722877,38,-0.0273349002305769,0.201405238611953,3,0.116141387287379,6,Joesley Day (mai/2017),201705
USIM5,0.0278863117535709,796,-0.0680753199285454,0.735516500995986,3,0.115109538320836,6,Joesley Day (mai/2017),201705
VALE3,0.0110725793502273,852,-0.0109209500640857,0.291129972381993,3,0.0773807696382885,6,Joesley Day (mai/2017),201705
VALE5,0.0229442816155045,962,-0.0178978959363207,0.262892521190995,3,0.0812748444447507,6,Joesley Day (mai/2017),201705
VIVT3,0.0516532559686303,548,0.0202652444597455,0.0913626952864819,3,0.0682607363588435,6,Joesley Day (mai/2017),201705
VIVT4,0.0107713990733969,898,-0.0103615986466484,0.0435897435897439,3,0.0446763755544055,6,Joesley Day (mai/2017),201705
VLID3,0.0598526569125271,529,-0.18445085678628,0.21004842592216,3,0.125374995485767,6,Joesley Day (mai/2017),201705
VVAR11,0.0298500568787587,434,-0.142737119640012,0.616062535656291,3,0.180447941118514,6,Joesley Day (mai/2017),201705
WEGE3,0.0166138585991686,773,0.0734460005932778,0.0835263373343911,3,0.0594170597739258,6,Joesley Day (mai/2017),201705
AALR3,0.0826976648202803,493,-0.0833907652193165,-0.0466165823546413,3,0.0582811225305478,6,Greve caminhoneiros (mai/2018),201805
ABCB4,0.0506417009462925,454,-0.125799515867116,-0.0676510379154192,3,0.090861491277054,6,Greve caminhoneiros (mai/2018),201805
ABEV3,0.0143615230085263,947,-0.156022427283616,-0.0344082751769337,3,0.0700136242564802,6,Greve caminhoneiros (mai/2018),201805
AGRO3,0.348602375856378,121,0.0120117462621763,0.0719585664499989,3,0.0609383338383942,6,Greve caminhoneiros (mai/2018),201805
ALPA3,0.314517872795785,88,-0.228178078086093,-0.0978555856523666,3,0.143778509446556,6,Greve caminhoneiros (mai/2018),201805
ALPA4,0.0587454020473941,493,-0.1506751765618,-0.0754018276386166,3,0.11311813890963,6,Greve caminhoneiros (mai/2018),201805
ALSC3,0.0180956397911771,638,-0.118535735037769,-0.00263678312458782,3,0.0788069448581915,6,Greve caminhoneiros (mai/2018),201805
ALUP11,0.0511960845422946,584,-0.102814472575427,-0.026888573230771,3,0.0652313371430122,6,Greve caminhoneiros (mai/2018),201805
ALUP3,0.987871231829028,19,-0.0651289919049922,-0.111756216403673,3,0.0908093556876496,6,Greve caminhoneiros (mai/2018),201805
ALUP4,0.240449239824024,17,-0.0376238535778292,-0.0514404508781529,3,0.0983884195010106,6,Greve caminhoneiros (mai/2018),201805
AMAR3,0.08169585868696,504,-0.198641754045269,-0.135593233815586,3,0.174145996193188,6,Greve caminhoneiros (mai/2018),201805
ANIM3,0.0438016076572361,532,-0.0878049447949812,-0.30481280209061,3,0.144933573663024,6,Greve caminhoneiros (mai/2018),201805
ARZZ3,0.0268492864011525,350,-0.193091732729332,-0.0743859649122807,3,0.070975910506271,6,Greve caminhoneiros (mai/2018),201805
AZUL4,0.0401164762308987,609,-0.271703296703297,-0.132402866842701,3,0.162797309046932,6,Greve caminhoneiros (mai/2018),201805
B3SA3,0.007727070637711,1064,-0.139525777516321,0.0106046962012074,3,0.0995680343208384,6,Greve caminhoneiros (mai/2018),201805
BBAS3,0.017166831861874,1064,-0.166893452455553,0.0033138190193085,3,0.194854905110113,6,Greve caminhoneiros (mai/2018),201805
BBDC3,0.0272982743431194,866,-0.181995261999895,-0.02842831235945,3,0.114750608418358,6,Greve caminhoneiros (mai/2018),201805
BBDC4,0.00936528359499336,1096,-0.155729765137359,-0.0251693417822134,3,0.115068461709616,6,Greve caminhoneiros (mai/2018),201805
BBRK3,0.108118254417233,388,-0.25,-0.190476190476191,3,0.296332251380918,5,Greve caminhoneiros (mai/2018),201805
BBSE3,0.0112516335828449,886,-0.0516740723290935,-0.0294366557130418,3,0.0583947147029333,6,Greve caminhoneiros (mai/2018),201805
BEEF3,0.174934123633739,450,-0.136585313681519,-0.177966262855643,3,0.160831632293521,6,Greve caminhoneiros (mai/2018),201805
BKBR3,0.0817550544407863,378,0.0242085661080076,-0.121212121212121,3,0.127722176485663,6,Greve caminhoneiros (mai/2018),201805
BPAC11,0.0565272450048205,485,-0.130920718108017,0.0899666910944965,3,0.0749865022732906,6,Greve caminhoneiros (mai/2018),201805
BRAP3,0.0738428278796846,437,-0.132258135591327,0.0197027600133861,3,0.108704581441219,6,Greve caminhoneiros (mai/2018),201805
BRAP4,0.0205514673635315,958,-0.1240155167991,-0.00256844733073403,3,0.11574663905332,6,Greve caminhoneiros (mai/2018),201805
BRDT3,0.0237280027734139,672,-0.207317073170732,0.086813186813187,3,0.0903150946464967,6,Greve caminhoneiros (mai/2018),201805
BRFS3,0.0177993503680095,866,-0.136290322580645,-0.0602240896358548,3,0.149555851604055,6,Greve caminhoneiros (mai/2018),201805
BRGE3,0.148020408683881,124,-0.164102564102564,0.352760736196319,2,0.142501315881168,5,Greve caminhoneiros (mai/2018),201805
BRIN3,0.133280753459838,25,0.0894915254237287,-0.135034225264468,3,0.0511820257555798,6,Greve caminhoneiros (mai/2018),201805
BRIV3,0.148020408683881,124,-0.0576271186440679,-0.125899280575539,3,0.113646384831711,6,Greve caminhoneiros (mai/2018),201805
BRKM5,0.0180806291348015,825,0.0840879641097625,0.304184850638395,3,0.0819734093590814,6,Greve caminhoneiros (mai/2018),201805
BRML3,0.0222755392830813,882,-0.0567765567765567,-0.111650485436893,3,0.143463563173628,6,Greve caminhoneiros (mai/2018),201805
